time,INITIAL TIME,FINAL TIME,TIME STEP,SAVEPER,characteristic time,room temperature,heat loss to room,teacup temperature
0.0,0,30,0.125,0.125,10,70,11.0,180.0
0.125,0,30,0.125,0.125,10,70,10.8625,178.625
0.25,0,30,0.125,0.125,10,70,10.72671875,177.2671875
0.375,0,30,0.125,0.125,10,70,10.592634765625002,175.92634765625002
0.5,0,30,0.125,0.125,10,70,10.460226831054689,174.6022683105469
0.625,0,30,0.125,0.125,10,70,10.329473995666504,173.29473995666504
0.75,0,30,0.125,0.125,10,70,10.20035557072067,172.00355570720671
0.875,0,30,0.125,0.125,10,70,10.072851126086665,170.72851126086664
1.0,0,30,0.125,0.125,10,70,9.946940487010583,169.46940487010582
1.125,0,30,0.125,0.125,10,70,9.82260373092295,168.2260373092295
1.25,0,30,0.125,0.125,10,70,9.699821184286412,166.99821184286412
1.375,0,30,0.125,0.125,10,70,9.578573419482831,165.7857341948283
1.5,0,30,0.125,0.125,10,70,9.458841251739296,164.58841251739295
1.625,0,30,0.125,0.125,10,70,9.340605736092552,163.40605736092553
1.75,0,30,0.125,0.125,10,70,9.223848164391395,162.23848164391396
1.875,0,30,0.125,0.125,10,70,9.108550062336501,161.08550062336502
2.0,0,30,0.125,0.125,10,70,8.994693186557296,159.94693186557296
2.125,0,30,0.125,0.125,10,70,8.88225952172533,158.8225952172533
2.25,0,30,0.125,0.125,10,70,8.771231277703766,157.71231277703765
2.375,0,30,0.125,0.125,10,70,8.66159088673247,156.6159088673247
2.5,0,30,0.125,0.125,10,70,8.553321000648314,155.53321000648313
2.625,0,30,0.125,0.125,10,70,8.446404488140208,154.4640448814021
2.75,0,30,0.125,0.125,10,70,8.340824432038456,153.40824432038457
2.875,0,30,0.125,0.125,10,70,8.236564126637976,152.36564126637975
3.0,0,30,0.125,0.125,10,70,8.133607075055,151.33607075055
3.125,0,30,0.125,0.125,10,70,8.031936986616813,150.31936986616813
3.25,0,30,0.125,0.125,10,70,7.931537774284104,149.31537774284104
3.375,0,30,0.125,0.125,10,70,7.832393552105552,148.32393552105552
3.5,0,30,0.125,0.125,10,70,7.734488632704233,147.34488632704233
3.625,0,30,0.125,0.125,10,70,7.637807524795432,146.3780752479543
3.75,0,30,0.125,0.125,10,70,7.54233493073549,145.4233493073549
3.875,0,30,0.125,0.125,10,70,7.448055744101296,144.48055744101296
4.0,0,30,0.125,0.125,10,70,7.354955047300029,143.5495504730003
4.125,0,30,0.125,0.125,10,70,7.263018109208778,142.63018109208778
4.25,0,30,0.125,0.125,10,70,7.172230382843668,141.72230382843668
4.375,0,30,0.125,0.125,10,70,7.082577503058121,140.8257750305812
4.5,0,30,0.125,0.125,10,70,6.994045284269896,139.94045284269896
4.625,0,30,0.125,0.125,10,70,6.906619718216521,139.0661971821652
4.75,0,30,0.125,0.125,10,70,6.820286971738815,138.20286971738815
4.875,0,30,0.125,0.125,10,70,6.7350333845920805,137.3503338459208
5.0,0,30,0.125,0.125,10,70,6.65084546728468,136.5084546728468
5.125,0,30,0.125,0.125,10,70,6.567709898943622,135.67709898943622
5.25,0,30,0.125,0.125,10,70,6.485613525206827,134.85613525206827
5.375,0,30,0.125,0.125,10,70,6.404543356141741,134.0454335614174
5.5,0,30,0.125,0.125,10,70,6.324486564189971,133.2448656418997
5.625,0,30,0.125,0.125,10,70,6.245430482137595,132.45430482137596
5.75,0,30,0.125,0.125,10,70,6.1673626011108755,131.67362601110875
5.875,0,30,0.125,0.125,10,70,6.090270568596989,130.9027056859699
6.0,0,30,0.125,0.125,10,70,6.0141421864895275,130.14142186489528
6.125,0,30,0.125,0.125,10,70,5.938965409158408,129.38965409158408
