time,INITIAL TIME,FINAL TIME,TIME STEP,SAVEPER,contact infectivity,duration,total population,recovering,succumbing,infectious,recovered,susceptible
0.0,0,100,0.03125,0.03125,0.3,5,1000,1.0,1.5,5.0,0.0,1000.0
0.03125,0,100,0.03125,0.03125,0.3,5,1000,1.003125,1.5046169677734376,5.015625,0.03125,999.953125
0.0625,0,100,0.03125,0.03125,0.3,5,1000,1.006259324798584,1.5092472642053165,5.03129662399292,0.06259765625,999.9061057197571
0.09375,0,100,0.03125,0.03125,0.3,5,1000,1.0094029994198759,1.5138909221878734,5.04701499709938,0.09404326014995575,999.8589417427506
0.125,0,100,0.03125,0.03125,0.3,5,1000,1.0125560489371759,1.518547974658442,5.06278024468588,0.12558710388182687,999.8116326514322
0.15625,0,100,0.03125,0.03125,0.3,5,1000,1.015718498472934,1.5232184545992586,5.0785924923646695,0.15722948041111362,999.7641780272241
0.1875,0,100,0.03125,0.03125,0.3,5,1000,1.0188903731987236,1.5279023950372632,5.0944518659936175,0.1889706834883928,999.7165774505179
0.21875,0,100,0.03125,0.03125,0.3,5,1000,1.0220716983352145,1.5325998290439005,5.110358491676072,0.2208110076508529,999.6688305006729
0.25,0,100,0.03125,0.03125,0.3,5,1000,1.0252624991521437,1.5373107897349187,5.126312495760718,0.25275074822382837,999.6209367560153
0.28125,0,100,0.03125,0.03125,0.3,5,1000,1.0284628009682861,1.5420353102701638,5.14231400484143,0.28479020132233285,999.5728957938361
0.3125,0,100,0.03125,0.03125,0.3,5,1000,1.0316726291514227,1.5467734238533735,5.1583631457571135,0.3169296638525918,999.5247071903901
0.34375,0,100,0.03125,0.03125,0.3,5,1000,1.03489200911831,1.5515251637319678,5.17446004559155,0.34916943351357377,999.4763705208948
0.375,0,100,0.03125,0.03125,0.3,5,1000,1.0381209663346453,1.556290563196837,5.190604831673227,0.381509808798521,999.4278853595281
0.40625,0,100,0.03125,0.03125,0.3,5,1000,1.041359526315034,1.561069655582128,5.20679763157517,0.41395108899647864,999.3792512794282
