time,INITIAL TIME,FINAL TIME,TIME STEP,SAVEPER,seasonal multiplier,response input,Accumulated response
0,0,10,1,1,0.0,0.0,0.0
1,0,10,1,1,0.2,0.2,0.0
2,0,10,1,1,0.4,0.4,0.2
3,0,10,1,1,0.6000000000000001,0.6000000000000001,0.6000000000000001
4,0,10,1,1,0.8,0.8,1.2000000000000002
5,0,10,1,1,1.0,1.0,2.0
6,0,10,1,1,0.8,0.8,3.0
7,0,10,1,1,0.6,0.6,3.8
8,0,10,1,1,0.39999999999999997,0.39999999999999997,4.3999999999999995
9,0,10,1,1,0.19999999999999996,0.19999999999999996,4.8
10,0,10,1,1,0.0,0.0,5.0
