Years,Deep N,downwelling,downwelling rate,remin,remin rate,Surface N,uptake,uptake rate,upwelling,upwelling rate
36,975.562015491,11.6526427228,0.03,19.5112403098,0.02,388.421424092,15.5368569637,0.04,29.2668604647,0.03
36.25,976.036271133,11.6682229286,0.03,19.5207254227,0.02,388.940764287,15.5576305715,0.04,29.281088134,0.03
36.5,976.513236188,11.6836371884,0.03,19.5302647238,0.02,389.454572945,15.5781829178,0.04,29.2953970856,0.03
36.75,976.992862394,11.6988890157,0.03,19.5398572479,0.02,389.96296719,15.5985186876,0.04,29.3097858718,0.03
37,977.475102492,11.713981852,0.03,19.5495020498,0.02,390.466061732,15.6186424693,0.04,29.3242530748,0.03
37.25,977.959910199,11.7289190676,0.03,19.559198204,0.02,390.96396892,15.6385587568,0.04,29.338797306,0.03
37.5,978.44724019,11.7437039637,0.03,19.5689448038,0.02,391.456798791,15.6582719516,0.04,29.3534172057,0.03
37.75,978.937048081,11.7583397734,0.03,19.5787409616,0.02,391.944659113,15.6777863645,0.04,29.3681114424,0.03
38,979.429290404,11.7728296632,0.03,19.5885858081,0.02,392.42765544,15.6971062176,0.04,29.3828787121,0.03
38.25,979.923924594,11.7871767344,0.03,19.5984784919,0.02,392.905891147,15.7162356459,0.04,29.3977177378,0.03
38.5,980.420908966,11.8013840246,0.03,19.6084181793,0.02,393.379467487,15.7351786995,0.04,29.412627269,0.03
38.75,980.9202027,11.8154545087,0.03,19.618404054,0.02,393.848483623,15.7539393449,0.04,29.427606081,0.03
39,981.42176582,11.8293911004,0.03,19.6284353164,0.02,394.31303668,15.7725214672,0.04,29.4426529746,0.03
39.25,981.925559181,11.8431966534,0.03,19.6385111836,0.02,394.773221782,15.7909288713,0.04,29.4577667754,0.03
39.5,982.431544446,11.8568739628,0.03,19.6486308889,0.02,395.229132094,15.8091652838,0.04,29.4729463334,0.03
39.75,982.939684076,11.870425766,0.03,19.6587936815,0.02,395.680858866,15.8272343546,0.04,29.4881905223,0.03
40,983.449941307,11.883854744,0.03,19.6689988261,0.02,396.128491466,15.8451396587,0.04,29.5034982392,0.03
40.25,983.96228014,11.8971635228,0.03,19.6792456028,0.02,396.572117426,15.862884697,0.04,29.5188684042,0.03
40.5,984.47666532,11.9103546741,0.03,19.6895333064,0.02,397.011822472,15.8804728989,0.04,29.5342999596,0.03
40.75,984.993062325,11.923430717,0.03,19.6998612465,0.02,397.447690568,15.8979076227,0.04,29.5497918698,0.03
41,985.511437349,11.9363941185,0.03,19.710228747,0.02,397.879803951,15.915192158,0.04,29.5653431205,0.03
41.25,986.031757285,11.9492472949,0.03,19.7206351457,0.02,398.308243162,15.9323297265,0.04,29.5809527186,0.03
41.5,986.553989716,11.9619926126,0.03,19.7310797943,0.02,398.733087086,15.9493234834,0.04,29.5966196915,0.03
41.75,987.078102894,11.9746323895,0.03,19.7415620579,0.02,399.154412985,15.9661765194,0.04,29.6123430868,0.03
42,987.604065735,11.9871688959,0.03,19.7520813147,0.02,399.572296529,15.9828918612,0.04,29.628121972,0.03
42.25,988.131847794,11.999604355,0.03,19.7626369559,0.02,399.986811833,15.9994724733,0.04,29.6439554338,0.03
42.5,988.661419263,12.0119409445,0.03,19.7732283853,0.02,400.398031484,16.0159212594,0.04,29.6598425779,0.03
42.75,989.192750951,12.0241807973,0.03,19.783855019,0.02,400.806026578,16.0322410631,0.04,29.6757825285,0.03
43,989.725814273,12.0363260024,0.03,19.7945162855,0.02,401.210866745,16.0484346698,0.04,29.6917744282,0.03
43.25,990.260581238,12.0483786055,0.03,19.8052116248,0.02,401.612620184,16.0645048074,0.04,29.7078174371,0.03
43.5,990.797024437,12.0603406107,0.03,19.8159404887,0.02,402.01135369,16.0804541476,0.04,29.7239107331,0.03
43.75,991.335117028,12.0722139805,0.03,19.8267023406,0.02,402.407132684,16.0962853074,0.04,29.7400535108,0.03
44,991.874832731,12.0840006372,0.03,19.8374966546,0.02,402.80002124,16.1120008496,0.04,29.7562449819,0.03
44.25,992.416145808,12.0957024634,0.03,19.8483229162,0.02,403.190082113,16.1276032845,0.04,29.7724843742,0.03
44.5,992.959031059,12.1073213031,0.03,19.8591806212,0.02,403.57737677,16.1430950708,0.04,29.7887709318,0.03
44.75,993.503463808,12.1188589623,0.03,19.8700692762,0.02,403.961965409,16.1584786164,0.04,29.8051039142,0.03
45,994.049419889,12.1303172098,0.03,19.8809883978,0.02,404.343906993,16.1737562797,0.04,29.8214825967,0.03
45.25,994.596875641,12.1416977781,0.03,19.8919375128,0.02,404.72325927,16.1889303708,0.04,29.8379062692,0.03
45.5,995.145807897,12.153002364,0.03,19.9029161579,0.02,405.1000788,16.204003152,0.04,29.8543742369,0.03
45.75,995.696193968,12.1642326294,0.03,19.9139238794,0.02,405.47442098,16.2189768392,0.04,29.870885819,0.03
