time,INITIAL TIME,FINAL TIME,TIME STEP,SAVEPER,population total,recovery rate,transmission rate,infection,recovery,Infected,Recovered,Susceptible
0.0,0,100,0.25,0.25,1000.0,0.1,0.3,2.97,1.0,10.0,0.0,990.0
0.25,0,100,0.25,0.25,1000.0,0.1,0.3,3.1139352956249997,1.04925,10.4925,0.25,989.2575
0.5,0,100,0.25,0.25,1000.0,0.1,0.3,3.264552179898247,1.100867132390625,11.008671323906249,0.5123125,988.4790161760938
0.75,0,100,0.25,0.25,1000.0,0.1,0.3,3.422131156354928,1.1549592585783155,11.549592585783154,0.7875292830976561,987.6628781311192
1.0,0,100,0.25,0.25,1000.0,0.1,0.3,3.5869614809485255,1.2116385560227307,12.116385560227307,1.0762690977422351,986.8073453420304
1.25,0,100,0.25,0.25,1000.0,0.1,0.3,3.7593411099703333,1.2710216291458758,12.710216291458757,1.3791787367479178,985.9106049717933
1.5,0,100,0.25,0.25,1000.0,0.1,0.3,3.939576603644226,1.3332296161664872,13.332296161664871,1.6969341440343868,984.9707696943008
1.75,0,100,0.25,0.25,1000.0,0.1,0.3,4.127982980175111,1.3983882908534306,13.983882908534305,2.0302415480760088,983.9858755433897
2.0,0,100,0.25,0.25,1000.0,0.1,0.3,4.3248835146378,1.4666281580864726,14.666281580864725,2.3798386207893665,982.953879798346
2.25,0,100,0.25,0.25,1000.0,0.1,0.3,4.530609476691177,1.5380845420002558,15.380845420002556,2.7464956603109845,981.8726589196865
2.5,0,100,0.25,0.25,1000.0000000000001,0.1,0.3,4.745499800693575,1.6128976653675289,16.128976653675288,3.1310167958110484,980.7400065505137
2.75,0,100,0.25,0.25,1000.0,0.1,0.3,4.96990068138274,1.6912127187506802,16.9121271875068,3.5342412121529305,979.5536316003403
3.0,0,100,0.25,0.25,1000.0,0.1,0.3,5.204165087872455,1.7731799178164818,17.731799178164817,3.9570443918406006,978.3111564299946
3.25,0,100,0.25,0.25,1000.0000000000001,0.1,0.3,5.448652188312982,1.8589545470678812,18.58954547067881,4.400339371294721,977.0101151580266
3.5,0,100,0.25,0.25,1000.0,0.1,0.3,5.703726677170712,1.9486969880990086,19.486969880990085,4.865078008061691,975.6479521109483
3.75,0,100,0.25,0.25,1000.0,0.1,0.3,5.969757996711092,2.042572730325801,20.42572730325801,5.3522522550864435,974.2220204416556
4.0,0,100,0.25,0.25,1000.0000000000001,0.1,0.3,6.247119443927129,2.1407523619854336,21.407523619854334,5.862895437667894,972.7295809424778
4.25,0,100,0.25,0.25,1000.0000000000001,0.1,0.3,6.536187153853443,2.243411539033976,22.43411539033976,6.3980835281642525,971.167801081496
4.5,0,100,0.25,0.25,1000.0,0.1,0.3,6.837338949954775,2.3507309294044627,23.507309294044624,6.958936412922746,969.5337542930326
4.75,0,100,0.25,0.25,1000.0,0.1,0.3,7.150953052091091,2.4628961299182204,24.6289612991822,7.546619145273862,967.824419555544
5.0,0,100,0.25,0.25,1000.0,0.1,0.3,7.477406632453647,2.5800975529725423,25.80097552972542,8.162343177753417,966.0366812925212
5.25,0,100,0.25,0.25,1000.0,0.1,0.3,7.8170742098542405,2.7025302799595696,27.025302799595696,8.807367565996552,964.1673296344078
5.5,0,100,0.25,0.25,1000.0000000000001,0.1,0.3,8.170325872851274,2.8303938782069364,28.303938782069363,9.483000135986444,962.2130610819443
5.75,0,100,0.25,0.25,1000.0000000000001,0.1,0.3,8.537525322431346,2.9638921780730447,29.638921780730445,10.190598605538177,960.1704796137315
6.0,0,100,0.25,0.25,1000.0,0.1,0.3,8.919027725355093,3.103233006682002,31.03233006682002,10.931571650056439,958.0360982831236
6.25,0,100,0.25,0.25,1000.0000000000001,0.1,0.3,9.315177369844566,3.2486278746488297,32.486278746488296,11.70737990172694,955.8063413517848
6.5,0,100,0.25,0.25,1000.0,0.1,0.3,9.726305116060578,3.4002916120287234,34.00291612028723,12.519536870389148,953.4775470093236
6.75,0,100,0.25,0.25,999.9999999999999,0.1,0.3,10.152725634818577,3.55844194962952,35.5844194962952,13.369609773396329,951.0459707303085
7.0,0,100,0.25,0.25,999.9999999999999,0.1,0.3,10.594734429246925,3.723299041759246,37.23299041759246,14.259220260803708,948.5077893216038
7.25,0,100,0.25,0.25,1000.0,0.1,0.3,11.05260463562954,3.8950849264464384,38.95084926446438,15.19004502124352,945.8591057142921
7.5,0,100,0.25,0.25,1000.0,0.1,0.3,11.526583601522459,4.0740229191760156,40.74022919176016,16.16381625285513,943.0959545553848
7.75,0,100,0.25,0.25,1000.0000000000001,0.1,0.3,12.016889241417791,4.260336936234677,42.60336936234677,17.182321982649135,940.2143086550042
8.0,0,100,0.25,0.25,1000.0000000000001,0.1,0.3,12.523706172773213,4.454250743864255,44.542507438642545,18.247406216707805,937.2100863446498
8.25,0,100,0.25,0.25,1000.0000000000002,0.1,0.3,13.047181638152997,4.655987129586978,46.55987129586978,19.360968902673868,934.0791598014565
8.5,0,100,0.25,0.25,1000.0000000000002,0.1,0.3,13.587421222556781,4.865766992301129,48.65766992301129,20.52496568507061,930.8173643919183
8.75,0,100,0.25,0.25,1000.0000000000002,0.1,0.3,14.14448437875774,5.083808348057521,50.83808348057521,21.741407433145895,927.4205090862791
9.0,0,100,0.25,0.25,1000.0000000000003,0.1,0.3,14.718379777640981,5.310325248825027,53.10325248825026,23.012359520160274,923.8843879915897
9.25,0,100,0.25,0.25,1000.0000000000002,0.1,0.3,15.309060505124657,5.545526612045426,55.455266120454255,24.33994083236653,920.2047930471795
9.5,0,100,0.25,0.25,1000.0000000000002,0.1,0.3,15.916419132250608,5.789614959372407,57.89614959372406,25.726322485377885,916.3775279208983
