time,INITIAL TIME,FINAL TIME,TIME STEP,SAVEPER,photosynthesis rate,respiration rate,photosynthesis,respiration,Atmosphere C,Land C
83.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
83.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
83.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
83.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
84.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
84.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
84.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
84.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
85.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
85.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
85.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
85.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
86.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
86.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
86.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
86.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
87.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
87.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
87.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
87.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
88.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
88.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
88.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
88.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
89.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
89.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
89.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
89.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
90.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
90.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
90.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
90.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
91.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
91.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
91.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
91.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
92.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
92.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
92.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
92.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
93.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
93.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
93.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
93.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
94.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
94.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
94.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
94.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
95.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
95.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
95.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
95.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
96.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
96.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
96.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
96.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
97.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
97.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
97.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
97.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
98.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
98.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
98.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
98.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
99.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
99.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
99.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
99.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
100.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
