time,INITIAL TIME,FINAL TIME,TIME STEP,SAVEPER,photosynthesis rate,respiration rate,photosynthesis,respiration,Atmosphere C,Land C
19.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
19.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
19.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
19.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
20.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
20.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
20.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
20.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
21.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
21.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
21.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
21.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
22.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
22.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
22.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
22.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
23.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
23.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
23.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
23.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
24.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
24.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
24.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
24.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
25.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
25.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
25.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
25.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
26.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
26.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
26.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
26.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
27.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
27.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
27.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
27.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
28.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
28.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
28.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
28.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
29.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
29.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
29.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
29.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
30.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
30.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
30.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
30.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
31.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
31.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
31.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
31.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
32.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
32.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
